#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
42.708	501	42.733	512
42.758	501	42.784	529
42.809	501	42.834	542
42.860	501	42.885	552
42.911	501	42.935	554
42.961	500	42.987	552
43.012	501	43.037	545
43.062	501	43.088	533
43.114	501	43.138	517
43.164	499	43.189	499
43.215	500	43.239	477
43.265	500	43.291	454
43.316	500	43.341	431
43.366	499	43.392	410
43.418	499	43.442	390
43.468	499	43.493	373
43.519	499	43.544	361
43.569	499	43.595	353
43.620	499	43.645	350
43.671	499	43.696	352
43.722	499	43.746	359
43.772	500	43.798	371
43.823	500	43.848	387
43.873	500	43.899	406
43.925	500	43.949	427
43.975	500	44.000	450
44.026	500	44.050	472
44.076	502	44.102	493
44.127	500	44.152	512
44.177	501	44.203	527
44.229	499	44.253	540
44.279	501	44.304	547
44.330	501	44.355	550
44.380	501	44.406	547
44.431	501	44.456	540
44.482	500	44.507	528
44.533	500	44.557	513
44.583	500	44.609	493
44.634	500	44.659	473
44.684	499	44.710	451
44.736	498	44.760	429
44.786	499	44.811	408
44.837	499	44.861	390
44.887	499	44.913	375
44.938	499	44.963	363
44.988	499	45.014	356
45.040	499	45.064	354
45.090	499	45.115	357
45.141	499	45.166	365
45.191	499	45.217	376
45.242	500	45.267	393
45.293	500	45.318	410
45.344	499	45.368	431
45.394	501	45.420	453
45.445	500	45.470	474
45.495	500	45.521	495
45.547	501	45.571	512
45.597	501	45.622	525
45.648	501	45.672	538
45.698	500	45.724	544
45.749	501	45.775	546
45.799	501	45.825	542
45.851	501	45.876	535
45.901	500	45.926	523
45.952	500	45.978	508
46.002	499	46.028	489
46.053	501	46.079	468
46.104	499	46.129	448
46.155	500	46.180	428
46.205	500	46.231	407
46.256	500	46.282	390
46.306	499	46.332	376
46.358	499	46.383	366
46.408	500	46.433	359
46.459	500	46.485	359
46.509	500	46.535	362
46.560	499	46.586	369
46.610	500	46.636	382
46.662	501	46.687	397
46.712	500	46.737	415
46.763	500	46.789	435
46.813	500	46.839	455
46.864	501	46.890	476
46.915	501	46.940	494
46.966	501	46.991	512
47.016	500	47.042	525
47.067	501	47.093	535
47.117	501	47.143	541
47.169	501	47.194	541
47.219	500	47.244	538
47.270	501	47.296	530
47.320	498	47.346	518
47.371	500	47.397	503
47.421	501	47.447	485
47.473	500	47.498	465
47.523	500	47.548	445
47.574	500	47.600	424
47.624	500	47.650	407
47.675	499	47.701	391
47.726	500	47.751	378
47.777	500	47.802	369
47.827	499	47.853	364
47.878	500	47.904	363
47.928	500	47.954	367
47.980	499	48.005	375
48.030	501	48.055	387
48.081	499	48.107	402
48.131	499	48.157	419
48.182	500	48.208	439
48.232	500	48.258	459
48.284	501	48.309	479
48.334	500	48.359	495
48.385	500	48.411	511
48.435	501	48.461	523
48.486	500	48.512	533
48.537	499	48.562	537
48.588	500	48.613	537
48.638	501	48.664	533
48.689	501	48.715	524
48.739	500	48.765	513
48.791	500	48.816	498
48.841	500	48.866	481
48.892	500	48.918	462
48.942	500	48.968	443
48.993	500	49.019	424
49.044	499	49.069	407
49.095	500	49.120	393
49.145	499	49.170	379
49.196	500	49.222	371
49.246	501	49.272	367
49.297	500	49.323	367
49.348	500	49.373	372
49.399	499	49.424	379
49.449	500	49.475	391
49.500	499	49.526	406
49.550	499	49.576	423
49.602	500	49.627	441
49.652	500	49.677	460
49.703	500	49.729	478
49.753	500	49.779	494
49.804	501	49.830	510
49.855	500	49.880	522
49.906	501	49.931	529
49.956	500	49.981	533
50.007	501	50.033	533
50.057	501	50.083	529
50.108	500	50.134	520
50.159	501	50.184	509
50.210	500	50.235	493
50.261	500	50.286	478
50.311	500	50.337	459
50.362	500	50.387	440
50.413	500	50.438	423
50.464	500	50.488	407
50.514	499	50.540	393
50.565	500	50.590	382
50.615	499	50.641	375
50.667	500	50.691	371
50.717	500	50.742	372
50.768	500	50.792	377
50.818	500	50.844	385
50.869	500	50.894	398
50.919	500	50.945	411
50.971	500	50.995	428
51.021	500	51.046	445
51.072	500	51.097	462
51.122	501	51.148	480
51.173	500	51.198	496
51.224	501	51.249	509
51.275	500	51.299	520
51.325	501	51.351	526
51.376	501	51.401	530
51.426	500	51.452	529
51.478	501	51.502	524
51.528	500	51.553	515
51.579	500	51.604	504
51.629	500	51.655	490
51.680	500	51.705	473
51.730	500	51.756	456
51.782	500	51.806	439
51.832	499	51.857	423
51.883	500	51.908	406
51.933	500	51.959	394
51.984	500	52.009	384
52.035	498	52.060	377
52.086	500	52.110	376
52.136	500	52.162	376
52.187	500	52.212	381
52.237	500	52.263	389
52.289	500	52.313	400
52.339	500	52.364	415
52.390	500	52.415	431
52.440	500	52.466	448
52.491	500	52.516	465
52.541	499	52.567	481
52.593	500	52.617	496
52.643	500	52.668	508
52.694	500	52.719	517
52.744	500	52.770	523
52.795	501	52.820	525
52.846	501	52.871	525
52.897	500	52.921	518
52.947	500	52.973	512
52.998	500	53.023	499
53.048	500	53.074	486
53.100	501	53.124	470
53.150	500	53.175	453
53.201	500	53.226	437
53.251	500	53.277	422
53.302	499	53.328	407
53.352	500	53.378	396
53.404	500	53.429	386
53.454	500	53.479	381
53.505	500	53.531	378
53.555	500	53.581	381
53.606	500	53.632	385
53.657	500	53.682	394
53.708	500	53.733	405
53.758	500	53.784	419
53.809	500	53.835	436
53.859	500	53.885	450
53.911	500	53.936	467
53.961	500	53.986	481
54.012	499	54.038	495
54.062	500	54.088	508
