#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
31.048	535	31.073	378
31.098	564	31.124	353
31.150	585	31.174	335
31.200	596	31.225	327
31.251	598	31.276	326
31.301	591	31.327	333
31.352	574	31.377	350
31.403	549	31.428	373
31.454	516	31.478	402
31.504	479	31.530	436
31.555	437	31.580	472
31.605	396	31.631	508
31.657	355	31.681	544
31.707	317	31.732	575
31.758	285	31.783	603
31.808	260	31.834	622
31.859	245	31.884	634
31.910	239	31.935	638
31.961	241	31.985	634
32.011	256	32.036	623
32.062	276	32.087	602
32.112	306	32.138	576
32.163	341	32.188	544
32.214	380	32.239	510
32.265	422	32.289	473
32.315	464	32.341	437
32.366	503	32.391	404
32.416	537	32.442	377
32.468	566	32.492	354
32.518	585	32.543	339
32.569	596	32.594	332
32.619	597	32.645	332
32.670	589	32.696	341
32.721	571	32.746	360
32.772	545	32.797	382
32.822	512	32.847	412
32.873	475	32.899	446
32.923	434	32.949	480
32.974	392	33.000	515
33.025	352	33.050	549
33.076	315	33.101	579
33.126	284	33.152	603
33.177	260	33.203	621
33.227	246	33.253	630
33.279	241	33.304	633
33.329	245	33.354	627
33.380	259	33.406	614
33.430	280	33.456	592
33.481	309	33.507	566
33.532	345	33.557	535
33.583	385	33.608	500
33.633	425	33.658	466
33.684	466	33.710	432
33.734	505	33.760	400
33.785	538	33.811	374
33.836	567	33.861	354
33.887	584	33.912	342
33.937	594	33.963	336
33.988	595	34.014	339
34.038	586	34.064	350
34.090	568	34.115	368
34.140	541	34.165	392
34.191	509	34.217	421
34.241	470	34.267	454
34.292	429	34.318	489
34.343	389	34.368	522
34.394	350	34.419	555
34.444	314	34.470	582
34.495	283	34.521	605
34.545	261	34.571	620
34.596	248	34.622	627
34.647	243	34.672	629
34.698	248	34.723	620
34.748	261	34.774	605
34.799	285	34.825	582
34.849	313	34.875	556
34.901	348	34.926	526
34.951	387	34.976	492
35.002	428	35.028	458
35.052	468	35.078	424
35.103	506	35.129	396
35.154	539	35.179	372
35.205	566	35.230	354
35.255	584	35.281	345
35.306	592	35.332	340
35.356	592	35.382	345
35.407	583	35.433	357
35.458	564	35.483	378
35.509	538	35.534	400
35.559	506	35.585	431
35.610	467	35.636	464
35.660	428	35.686	497
35.712	387	35.737	529
35.762	348	35.787	560
35.813	312	35.839	586
35.863	284	35.889	605
