#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.324	367	29.349	531
29.375	361	29.401	505
29.425	355	29.451	477
29.476	356	29.502	449
29.527	362	29.552	425
29.578	372	29.603	403
29.628	386	29.654	384
29.679	402	29.705	373
29.729	421	29.755	368
29.780	441	29.806	368
29.831	461	29.856	374
29.882	480	29.907	387
29.932	497	29.958	405
29.983	512	30.009	427
30.033	521	30.059	453
30.085	527	30.110	481
30.135	529	30.160	510
30.186	527	30.212	537
30.236	521	30.262	563
30.287	510	30.313	584
30.338	497	30.363	599
30.389	481	30.414	608
30.439	464	30.465	613
30.490	444	30.516	612
30.540	428	30.566	603
30.592	411	30.617	588
30.642	397	30.667	567
30.693	385	30.718	543
30.743	377	30.769	516
30.794	372	30.820	487
30.844	371	30.870	456
30.896	375	30.921	430
30.946	382	30.971	407
30.997	392	31.023	387
31.047	404	31.073	373
31.098	419	31.124	363
31.149	435	31.174	360
31.200	451	31.225	366
31.250	467	31.276	377
31.301	482	31.327	394
31.351	493	31.377	416
31.403	504	31.428	442
31.453	510	31.478	471
31.504	513	31.529	500
31.554	511	31.580	529
31.605	508	31.631	556
31.655	501	31.681	579
31.707	491	31.732	597
31.757	479	31.782	611
31.808	466	31.834	617
31.858	452	31.884	617
31.909	437	31.935	610
31.960	424	31.985	597
32.011	412	32.036	578
32.061	402	32.087	555
32.112	393	32.138	528
32.162	390	32.188	498
32.214	388	32.239	468
32.264	389	32.289	439
32.315	393	32.340	413
32.365	401	32.391	391
32.416	410	32.442	374
32.466	420	32.492	362
32.518	432	32.543	358
32.568	445	32.593	360
32.619	458	32.645	370
32.669	468	32.695	385
32.720	478	32.746	405
32.771	486	32.796	431
32.822	492	32.847	459
32.872	496	32.898	489
32.923	496	32.949	519
32.973	494	32.999	548
33.025	490	33.050	573
33.075	483	33.100	594
33.126	475	33.152	609
33.176	465	33.202	618
33.227	455	33.253	620
33.277	445	33.303	616
33.329	434	33.354	604
33.379	425	33.404	587
33.430	417	33.456	565
33.480	412	33.506	539
33.531	406	33.557	509
