#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
39.970	500	39.995	448
40.020	500	40.045	421
40.071	501	40.097	394
40.121	500	40.147	370
40.172	500	40.198	350
40.222	499	40.248	335
40.274	500	40.299	326
40.324	500	40.349	322
40.375	499	40.401	326
40.425	499	40.451	335
40.476	499	40.502	349
40.527	499	40.552	369
40.578	500	40.603	392
40.628	501	40.654	417
40.679	500	40.705	446
40.729	500	40.755	472
40.781	501	40.806	498
40.831	501	40.856	520
40.882	501	40.908	540
40.932	501	40.958	553
40.983	503	41.009	562
41.033	502	41.059	565
41.085	501	41.110	561
41.135	502	41.160	552
41.186	501	41.212	538
41.236	502	41.262	519
41.287	503	41.313	497
41.338	501	41.363	471
41.389	501	41.414	445
41.439	500	41.465	417
41.490	500	41.516	392
41.540	500	41.566	370
41.592	500	41.617	352
41.642	500	41.667	339
41.693	499	41.719	330
41.743	499	41.769	328
41.794	499	41.820	331
41.844	499	41.870	341
41.896	499	41.921	355
41.947	500	41.971	375
41.997	500	42.023	397
42.048	500	42.073	422
42.098	500	42.124	449
42.150	501	42.174	475
42.200	501	42.225	499
42.251	501	42.276	520
42.301	501	42.327	538
42.352	501	42.377	551
42.403	502	42.428	558
42.454	502	42.478	561
42.504	501	42.530	557
42.555	502	42.580	547
42.605	501	42.631	533
42.657	501	42.681	514
42.707	501	42.732	491
42.758	501	42.782	466
42.808	500	42.834	441
42.859	500	42.884	415
42.909	501	42.935	391
42.961	500	42.985	370
43.011	500	43.036	353
43.062	500	43.087	340
43.112	499	43.138	334
43.163	499	43.188	333
43.214	499	43.239	336
43.265	499	43.289	346
43.315	500	43.341	361
43.366	500	43.391	380
43.416	501	43.442	402
43.468	500	43.492	427
43.518	500	43.543	453
43.569	501	43.593	476
43.619	501	43.645	500
43.670	501	43.695	520
43.720	501	43.746	537
43.772	502	43.796	548
43.822	501	43.847	555
43.873	502	43.898	555
43.923	501	43.949	551
43.974	501	43.999	540
44.025	501	44.050	527
44.076	501	44.100	508
44.126	501	44.152	486
44.177	501	44.202	461
44.227	501	44.253	438
44.279	499	44.303	413
44.329	500	44.354	392
44.380	500	44.404	371
44.430	500	44.456	355
44.481	499	44.506	344
44.531	500	44.557	337
44.583	499	44.607	338
44.633	500	44.658	342
44.684	499	44.709	353
44.734	500	44.760	367
44.785	499	44.810	385
44.836	500	44.861	407
44.887	500	44.912	431
44.937	501	44.963	455
44.988	501	45.014	479
45.038	501	45.064	501
45.090	501	45.115	519
45.140	501	45.165	534
45.191	501	45.217	545
45.241	501	45.267	551
45.292	501	45.318	551
45.342	500	45.368	546
45.394	501	45.419	537
45.444	501	45.469	522
45.495	501	45.521	502
45.545	501	45.571	482
45.596	501	45.622	459
45.647	500	45.672	435
45.698	501	45.723	412
45.748	500	45.774	391
45.799	499	45.825	372
45.849	500	45.875	358
45.901	500	45.926	346
45.951	500	45.976	342
46.002	499	46.028	342
46.052	500	46.078	347
46.103	500	46.129	358
46.153	500	46.179	372
46.205	500	46.230	392
46.255	500	46.280	412
46.306	501	46.332	435
46.356	500	46.382	458
46.407	501	46.433	480
46.458	501	46.483	501
46.509	501	46.534	518
46.559	502	46.585	533
46.610	501	46.636	544
46.660	501	46.686	545
46.712	501	46.737	546
46.762	502	46.787	539
46.813	501	46.839	531
46.863	501	46.889	516
46.914	501	46.940	497
46.964	501	46.990	477
47.016	500	47.041	455
47.066	501	47.091	432
47.117	500	47.143	411
47.167	500	47.193	390
47.218	500	47.244	373
47.269	500	47.294	360
